model,variant,target,r2,mae,rmse
RGB_X/absolute30/velocity,shuffled,player3.velocity.z,0.003441286055856474,89.17954981283002,182.32099603079348
RGB_X/absolute30/velocity,mean_baseline,ball.velocity.x,-0.004244654594609765,674.6953217536045,853.036687873536
RGB_X/absolute30/velocity,mean_baseline,ball.velocity.y,-0.0036194843360590756,992.2849696820493,1221.834772435584
RGB_X/absolute30/velocity,mean_baseline,ball.velocity.z,-0.004337311129713806,397.01703717377535,537.0184928494391
RGB_X/absolute30/velocity,mean_baseline,player0.velocity.x,-0.0002704508834190378,738.9990047216809,890.3095942357807
RGB_X/absolute30/velocity,mean_baseline,player0.velocity.y,-0.0035577751973714378,985.977645857528,1139.8000099816127
RGB_X/absolute30/velocity,mean_baseline,player0.velocity.z,-0.0008102598608903389,72.4989113988421,166.07624697552515
RGB_X/absolute30/velocity,mean_baseline,player1.velocity.x,-0.0006408076733923629,686.9041393019569,840.9589774570801
RGB_X/absolute30/velocity,mean_baseline,player1.velocity.y,-1.138454244675735e-05,916.0526462361835,1074.7032869764535
RGB_X/absolute30/velocity,mean_baseline,player1.velocity.z,-0.005618175667208236,108.89376912896446,209.5126598266042
RGB_X/absolute30/velocity,mean_baseline,player2.velocity.x,-0.005489061778163773,744.7823823144371,890.6957715054511
RGB_X/absolute30/velocity,mean_baseline,player2.velocity.y,-0.00094724702047011,946.2121989705495,1109.0066792979926
RGB_X/absolute30/velocity,mean_baseline,player2.velocity.z,-0.006027882879908963,119.5975905257457,232.9132944137804
RGB_X/absolute30/velocity,mean_baseline,player3.velocity.x,-0.00311515707184018,744.8540393290435,888.130598775411
RGB_X/absolute30/velocity,mean_baseline,player3.velocity.y,-0.02061054710366328,932.5662282461398,1090.486287630653
RGB_X/absolute30/velocity,mean_baseline,player3.velocity.z,-0.0005185456141734157,87.6699107485796,182.68286366937105
RGB_X/role12/all,main,ego.location.x,0.07571017261408475,1639.5768775548577,2036.8078528313415
RGB_X/role12/all,main,ego.location.y,0.4752132167989843,1620.979047378042,2080.784964346214
RGB_X/role12/all,main,ego.location.z,0.10063161610084359,87.85493978927329,153.14093876732656
RGB_X/role12/all,main,ego.velocity.x,0.052488410172053634,703.8790499805816,857.8116150034988
RGB_X/role12/all,main,ego.velocity.y,0.06747741040945987,890.3503457337276,1071.9366709281392
RGB_X/role12/all,main,ego.velocity.z,-0.003013597713593885,117.39046581679735,205.74081698751473
RGB_X/role12/all,main,ball_minus_ego.location.x,0.4392136041486199,774.1527875839621,1053.8744631595732
RGB_X/role12/all,main,ball_minus_ego.location.y,0.543241597401821,1282.0262062570725,1713.6965097045347
RGB_X/role12/all,main,ball_minus_ego.location.z,0.1405825035294137,322.75320000291885,432.8702930486369
RGB_X/role12/all,main,ball_minus_ego.velocity.x,-0.047748743818061046,673.6569428998808,907.9164713043176
RGB_X/role12/all,main,ball_minus_ego.velocity.y,-4.836534835894746e-05,987.5041360953619,1277.4229302860476
RGB_X/role12/all,main,ball_minus_ego.velocity.z,-0.05180914738165865,429.3498994944275,571.7375641093254
RGB_X/role12/all,shuffled,ego.location.x,-0.015683375761442298,1771.2867879686266,2135.1340483619656
RGB_X/role12/all,shuffled,ego.location.y,0.1021825513870499,2323.663691945262,2721.634348554809
RGB_X/role12/all,shuffled,ego.location.z,-0.009573250374781406,94.65115460235457,162.25250640026647
RGB_X/role12/all,shuffled,ego.velocity.x,-0.019504372413398308,740.3549308281398,889.8036918094072
RGB_X/role12/all,shuffled,ego.velocity.y,-0.010536265217076624,956.5910359281943,1115.874619554239
RGB_X/role12/all,shuffled,ego.velocity.z,0.011693794655140755,101.14827604004726,204.2268368214281
RGB_X/role12/all,shuffled,ball_minus_ego.location.x,0.058887218675103825,897.7317431525192,1365.2462180597752
RGB_X/role12/all,shuffled,ball_minus_ego.location.y,0.09638512378089048,1713.1454867121372,2410.3622973601737
RGB_X/role12/all,shuffled,ball_minus_ego.location.z,-0.0061022101399210715,364.1550238758999,468.35670086914934
RGB_X/role12/all,shuffled,ball_minus_ego.velocity.x,-0.031036235037251947,669.0938398950657,900.6463326250484
RGB_X/role12/all,shuffled,ball_minus_ego.velocity.y,2.3583580614161548e-05,969.8360006031803,1277.3769770761648
RGB_X/role12/all,shuffled,ball_minus_ego.velocity.z,-0.019888248883590753,420.5355553262729,562.9950147310905
RGB_X/role12/all,mean_baseline,ego.location.x,-0.0061238075403691195,1757.4809161157154,2125.062398965954
RGB_X/role12/all,mean_baseline,ego.location.y,-0.00033092749733132365,2469.82062972568,2872.814636182625
RGB_X/role12/all,mean_baseline,ego.location.z,-3.1621040123663846e-05,94.53315427657809,161.48394967568586
RGB_X/role12/all,mean_baseline,ego.velocity.x,-0.00015464278558896538,732.3893769035252,881.3192062062934
RGB_X/role12/all,mean_baseline,ego.velocity.y,-0.003301672645417586,955.6802619667491,1111.8730813308352
RGB_X/role12/all,mean_baseline,ego.velocity.z,-0.00017713100356275824,95.09797486529447,205.44969922757747
RGB_X/role12/all,mean_baseline,ball_minus_ego.location.x,-0.0071111882426388995,936.1033660712012,1412.3061707349107
RGB_X/role12/all,mean_baseline,ball_minus_ego.location.y,-0.007107460133051191,1772.5708348163728,2544.6528685499625
RGB_X/role12/all,mean_baseline,ball_minus_ego.location.z,-0.011302969965309773,364.4317923043337,469.56565905994484
RGB_X/role12/all,mean_baseline,ball_minus_ego.velocity.x,-0.005606992309753256,659.441897164787,889.4703238253546
RGB_X/role12/all,mean_baseline,ball_minus_ego.velocity.y,-5.638952074393799e-05,965.9493183550418,1277.4280551588013
RGB_X/role12/all,mean_baseline,ball_minus_ego.velocity.z,-0.004652392568605501,414.97188730841316,558.7739700373228
RGB_X/role12/position,main,ego.location.x,0.07571017261408475,1639.5768775548577,2036.8078528313415
RGB_X/role12/position,main,ego.location.y,0.4752132167989843,1620.979047378042,2080.784964346214
RGB_X/role12/position,main,ego.location.z,0.10063161610084359,87.85493978927329,153.14093876732656
RGB_X/role12/position,main,ball_minus_ego.location.x,0.4392136041486199,774.1527875839621,1053.8744631595732
RGB_X/role12/position,main,ball_minus_ego.location.y,0.543241597401821,1282.0262062570725,1713.6965097045347
RGB_X/role12/position,main,ball_minus_ego.location.z,0.1405825035294137,322.75320000291885,432.8702930486369
RGB_X/role12/position,shuffled,ego.location.x,-0.015683375761442298,1771.2867879686266,2135.1340483619656
RGB_X/role12/position,shuffled,ego.location.y,0.1021825513870499,2323.663691945262,2721.634348554809
RGB_X/role12/position,shuffled,ego.location.z,-0.009573250374781406,94.65115460235457,162.25250640026647
RGB_X/role12/position,shuffled,ball_minus_ego.location.x,0.058887218675103825,897.7317431525192,1365.2462180597752
RGB_X/role12/position,shuffled,ball_minus_ego.location.y,0.09638512378089048,1713.1454867121372,2410.3622973601737
RGB_X/role12/position,shuffled,ball_minus_ego.location.z,-0.0061022101399210715,364.1550238758999,468.35670086914934
RGB_X/role12/position,mean_baseline,ego.location.x,-0.0061238075403691195,1757.4809161157154,2125.062398965954
RGB_X/role12/position,mean_baseline,ego.location.y,-0.00033092749733132365,2469.82062972568,2872.814636182625
RGB_X/role12/position,mean_baseline,ego.location.z,-3.1621040123663846e-05,94.53315427657809,161.48394967568586
